,word1,word2,prediction
0,abandon,frost,-5.641800880432129
1,abandon,railroad,-5.134952068328857
2,abortion,religion,-5.120974540710449
3,abstract,candle,-4.8029375076293945
4,abstract,frog,-4.551785469055176
5,abstract,moon,-5.314972877502441
6,abstract,rally,-5.841195583343506
7,abuse,abuse,-0.0
8,abuse,disorder,-4.862264633178711
9,accommodate,adjust,-4.857548713684082
10,accommodation,accommodation,-0.0
11,accompany,walking,-5.528980731964111
12,account,explanation,-5.3487653732299805
13,account,invoice,-4.751571178436279
14,act,improvement,-5.5452141761779785
15,action,adjustment,-5.04108190536499
16,action,entrance,-5.6374335289001465
17,activity,solo,-6.1070475578308105
18,activity,variation,-4.78314733505249
19,actor,amateur,-5.130593776702881
20,ad,track,-5.568506717681885
21,add,increased,-5.870488166809082
22,add,string,-5.79191255569458
23,addition,segment,-4.230252265930176
24,admitting,confess,-3.5850205421447754
25,adult,dentist,-5.353091716766357
26,advance,advance,-0.0
27,advance,string,-4.988292217254639
28,advice,recommendation,-4.5972394943237305
29,advised,murder,-5.636430740356445
30,aerial,clown,-5.194826126098633
31,africa,territory,-5.4263153076171875
32,age,history,-4.599608421325684
33,agency,police,-5.022334098815918
34,aim,intending,-4.079392910003662
35,air,cold,-4.754019260406494
36,air,plasma,-5.639623641967773
37,air,satellite,-5.720571994781494
38,aircraft,fleet,-3.612969398498535
39,aircraft,flight,-3.997408866882324
40,aircraft,yacht,-5.245636463165283
41,airplane,plane,-2.7690517902374268
42,ale,bitter,-4.647884845733643
43,alley,street,-4.376697540283203
44,aluminum,component,-4.25123929977417
45,aluminum,imperative,-5.450572490692139
46,american,lobster,-5.031617641448975
47,ammunition,intolerable,-5.430600643157959
48,amount,number,-4.636016845703125
49,amounted,make,-5.194761276245117
50,amusement,athletics,-5.8458027839660645
51,amusement,procedure,-5.2358598709106445
52,anatomy,palm,-5.568275451660156
53,ancient,city,-5.4041619300842285
54,angel,asphalt,-5.194988250732422
55,angel,pod,-4.386629581451416
56,angrier,stormy,-4.756805896759033
57,animal,asia,-6.195596694946289
58,animal,flora,-4.918116569519043
59,animal,giraffe,-4.127599239349365
60,animal,mural,-5.218260765075684
61,animal,wild,-4.391653537750244
62,animal,worm,-4.867687225341797
63,animal,zoo,-3.784886360168457
64,anniversary,marriage,-5.486426830291748
65,answering,counter,-4.676487922668457
66,anxiety,insecurities,-4.363664627075195
67,apartment,staircase,-4.710071563720703
68,appliance,dryer,-3.5507869720458984
69,appreciate,see,-4.354939937591553
70,approach,avenue,-5.8882575035095215
71,approach,merit,-5.03348970413208
72,approach,trench,-4.708278656005859
73,approval,encouragement,-5.4418134689331055
74,approving,interaction,-5.300097465515137
75,aquarium,coin,-5.404470920562744
76,arch,brick,-4.444631576538086
77,arch,roof,-5.208768367767334
78,architecture,urban,-4.161478519439697
79,area,space,-5.348769664764404
80,argument,evidence,-4.491621494293213
81,arm,bicycle,-4.809201717376709
82,arm,television,-6.042870998382568
83,arrange,discard,-3.7672150135040283
84,arrange,study,-6.330146789550781
85,arrangement,blizzard,-5.47085428237915
86,arrangement,room,-5.299912929534912
87,art,craft,-5.493219375610352
88,art,gem,-5.1824846267700195
89,art,museum,-3.469132661819458
90,art,painting,-3.698293447494507
91,article,cup,-6.494781017303467
92,article,girl,-6.351906776428223
93,ash,bone,-5.695662498474121
94,ash,coil,-4.535164833068848
95,asphalt,crane,-4.31936502456665
96,asphalt,water,-4.619039058685303
97,assets,exclude,-5.163093566894531
98,association,organization,-3.5671727657318115
99,association,realtor,-5.035826683044434
100,asylum,dollar,-5.654941082000732
101,asylum,shelter,-4.811673641204834
102,athletics,racing,-4.379649639129639
103,athletics,swimming,-4.43693208694458
104,attempt,give,-4.338590145111084
105,attempt,initiate,-4.0086493492126465
106,attitude,notice,-4.760538578033447
107,attitude,study,-5.700915336608887
108,attorney,lawyer,-2.4457502365112305
109,auto,bright,-5.949872970581055
110,automobile,fabric,-5.196045398712158
111,automobile,racing,-4.700728416442871
112,autumn,foliage,-2.8636858463287354
113,autumn,hat,-5.162224769592285
114,autumn,sunshine,-4.174996376037598
115,autumn,winter,-3.681330442428589
116,award,citation,-4.383070468902588
117,baby,treat,-5.332372665405273
118,back,lumbar,-5.37916374206543
119,back,shifting,-5.047816753387451
120,bacon,bread,-2.940791130065918
121,bacon,pepper,-2.966247081756592
122,bacon,salad,-2.8963818550109863
123,bacon,tomato,-2.70572829246521
124,bacon,wild,-4.7269816398620605
125,bag,cop,-5.643163204193115
126,bag,flag,-5.526069641113281
127,bakery,cake,-3.6130170822143555
128,bakery,vehicle,-5.459303379058838
129,balance,gauge,-5.160849094390869
130,banana,salad,-3.4503097534179688
131,band,guitar,-2.9747886657714844
132,band,metal,-5.294570446014404
133,band,play,-5.03657341003418
134,band,uniform,-5.106815814971924
135,band,vinyl,-4.55142068862915
136,bank,smell,-6.140658378601074
137,bankruptcy,enterprise,-5.30698823928833
138,bar,diner,-3.8849782943725586
139,bar,ship,-5.757030010223389
140,bar,stair,-4.872605323791504
141,bar,sushi,-3.930385112762451
142,barn,food,-5.660510540008545
143,barrel,gallon,-4.031156539916992
144,base,club,-5.15579080581665
145,baseball,born,-5.96610164642334
146,baseball,cactus,-4.760889530181885
147,baseball,game,-4.255895137786865
148,baseball,hockey,-4.109797477722168
149,baseball,season,-4.819583415985107
150,basket,dinner,-5.735198020935059
151,basketball,lesson,-5.736651420593262
152,basketball,squash,-5.343479156494141
153,bat,bats,-3.6450045108795166
154,bath,bedroom,-4.265141010284424
155,bath,floor,-4.774159908294678
156,bath,hot,-4.234442234039307
157,bath,sleep,-4.811542510986328
158,bathroom,chamber,-5.348911285400391
159,bay,curve,-5.979824542999268
160,bay,harbour,-4.750668048858643
161,beach,cliff,-4.8905134201049805
162,beach,pebble,-4.843883037567139
163,bead,chess,-4.667141914367676
164,bead,gold,-5.612754821777344
165,bead,redhead,-3.9271695613861084
166,beam,column,-5.312708377838135
167,beard,hair,-3.682050943374634
168,beat,meter,-5.193672180175781
169,bed,candy,-5.024348735809326
170,bed,floor,-4.669622898101807
171,bed,furniture,-4.849513053894043
172,bed,layer,-5.129918098449707
173,bed,pillow,-3.190272092819214
174,bed,relax,-4.983371257781982
175,bed,sitting,-3.634618043899536
176,bed,staircase,-4.647054195404053
177,bedroom,canyon,-5.493093013763428
178,bedroom,ceiling,-3.9527523517608643
179,bedroom,cell,-5.422377586364746
180,bedroom,construction,-6.250991344451904
181,bedroom,door,-3.7199501991271973
182,bedroom,downtown,-5.805880069732666
183,bedroom,room,-3.341763973236084
184,bedroom,stair,-4.394060134887695
185,bedroom,staircase,-3.9417519569396973
186,beef,chicken,-3.0477123260498047
187,beef,lamb,-3.5088298320770264
188,beef,pepper,-4.1068291664123535
189,beef,potato,-3.7614896297454834
190,beer,patio,-4.427319526672363
191,beer,wild,-5.602789878845215
192,being,characters,-5.222064018249512
193,believe,week,-4.280691146850586
194,belly,black,-4.638066291809082
195,belly,dance,-4.4859538078308105
196,belly,dark,-4.411334037780762
197,belly,field,-5.359301567077637
198,belly,stripe,-4.399234294891357
199,bench,game,-4.180173397064209
200,benefited,get,-5.089725971221924
201,bent,double,-5.125277519226074
202,bent,inclination,-3.776700496673584
203,berlin,germany,-4.019362449645996
204,berry,blossom,-3.8860251903533936
205,berry,bright,-4.596855163574219
206,berry,dessert,-3.9767143726348877
207,berry,ivy,-4.568307876586914
208,berry,raspberry,-3.1892361640930176
209,berry,seed,-5.256695747375488
210,berry,sweet,-4.0256452560424805
211,bias,prejudice,-3.285033941268921
212,bible,misty,-4.642969131469727
213,bicycle,green,-5.851683616638184
214,bigger,large,-4.223337173461914
215,bike,chopper,-4.750884532928467
216,bikini,ivy,-4.417642116546631
217,bin,cup,-5.877699851989746
218,bird,cock,-4.758364200592041
219,bird,dragonfly,-5.05668830871582
220,bird,flamingo,-5.147828578948975
221,bird,goose,-4.078313827514648
222,bird,insect,-4.3785014152526855
223,bird,reptile,-4.073566913604736
224,bird,shade,-5.245587348937988
225,bird,solid,-5.515669345855713
